Price,Close,High,Low,Open,Volume,50_MA,200_MA,Volatility,Daily Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2023-08-04,180.4221954345703,185.76576098167885,180.35279121043274,183.92178393074198,115799700,185.47511016845704,158.38900703430176,3.2500097614965617,-0.04802026699377948
2023-08-07,177.3092803955078,181.5524085909385,175.82220233279125,180.56102321579414,97576100,185.6141030883789,158.5662409210205,3.8837197006055915,-0.017253503825095606
2023-08-08,178.25108337402344,178.71703568412062,176.05020675575068,178.14203038384454,67823000,185.7491293334961,158.74764091491699,4.271361115620899,0.005311639505923393
2023-08-09,176.6549530029297,179.3713391045639,175.48511045638642,179.31185840559957,60378500,185.80385406494142,158.92337951660156,4.8355843596525085,-0.008954393661353532
2023-08-10,176.4368438720703,179.1928938087059,176.07003615011226,177.93383023619305,54686900,185.81713836669923,159.07888214111327,5.349293388586455,-0.001234661848715679
2023-08-11,176.49639892578125,177.32036168980022,175.26543082107975,176.02983256684112,51988100,185.83260559082032,159.22392585754395,5.789803864691595,0.00033754318204715084
2023-08-14,178.15428161621094,178.38260392804418,176.01991561712387,176.67511718788185,43675600,185.82492004394533,159.36299865722657,6.019567831293043,0.009393294710374533
2023-08-15,176.15887451171875,178.174103062697,175.76179096239193,177.57847773870674,43622600,185.76027435302734,159.5068482208252,6.350046034179313,-0.01120044428003586
2023-08-16,175.28529357910156,177.24094603057796,175.2157956243564,175.84121662599503,46964900,185.70532043457033,159.66878120422362,6.697116857112665,-0.0049590515098294485
2023-08-17,172.73399353027344,176.218449670705,172.21777275650916,175.85114660071363,66062900,185.60667694091796,159.76397575378417,7.137332870063502,-0.014555128937139172
2023-08-18,173.22042846679688,173.82599075554495,170.70883778094841,171.04636032936088,61114200,185.545322265625,159.87344497680664,7.497429174534382,0.0028160926901639183
2023-08-21,174.56057739257812,174.84847582356457,172.47586616641206,173.7961908502,46311900,185.45624481201173,160.0028882598877,7.762270119626209,0.007736667884054693
2023-08-22,175.9404754638672,176.38719824747957,174.96761015656983,175.77171419662545,42084200,185.38703247070313,160.1669622039795,7.942739869086264,0.007904981135492761
2023-08-23,179.80218505859375,180.2290643006026,177.032491470534,177.2211114741355,52722800,185.3389422607422,160.3806908416748,7.972495974470715,0.02194895509146022
2023-08-24,175.0966796875,179.78233860000068,174.72936147404116,179.355459364837,54945800,185.20625915527344,160.57222648620606,8.116038893393258,-0.0261704571029564
2023-08-25,177.31045532226562,177.84651968096887,174.54076169805765,176.08940889849805,51449600,185.10516204833985,160.7721620941162,8.156793084343267,0.012643161701961558
2023-08-28,178.8789520263672,179.27603559399373,177.25088516267095,178.77967356057698,43820700,184.99458923339844,160.97707336425782,8.041185322126406,0.008846047466579465
2023-08-29,182.78033447265625,183.55465796575328,178.19395452927148,178.3924962958512,53003900,184.9836560058594,161.22437545776367,7.87141177277109,0.021810181701612308
2023-08-30,186.28466796875,186.48322490340712,183.39585240180426,183.59439418869403,60813900,185.041025390625,161.4298889160156,7.6518894454767805,0.019172377084242687
2023-08-31,186.50306701660156,187.7439721096439,186.11590523348306,186.47328650618994,60794500,185.12358154296874,161.6225070953369,7.510571489870243,0.0011723941118342296
2023-09-01,188.08151245117188,188.53815704908098,186.91009015003394,188.11129296200212,45732600,185.17743072509765,161.83003593444823,7.443671310127284,0.008463375213179747
2023-09-05,188.31976318359375,188.59772472633045,186.24497340110617,186.91009674606673,45280000,185.2423895263672,162.0300570678711,7.350938284454987,0.0012667418999181557
2023-09-06,181.5791473388672,187.4759302206488,180.1496223799182,187.02919231015284,81755800,185.2004931640625,162.2025534057617,7.1305017991952795,-0.03579345964955949
2023-09-07,176.26809692382812,176.9133767073295,172.27734161590178,173.90540860928058,112488800,184.99705657958984,162.33895530700684,6.91161781445312,-0.029249230943503957
2023-09-08,176.88357543945312,178.9285998393183,176.4964136407334,177.05235186894313,65551300,184.78233459472656,162.4756172180176,6.697065773898085,0.0034917181632190264
2023-09-11,178.0549774169922,178.98814040153138,176.0496706936909,178.7598181226865,58953100,184.58429931640626,162.63434768676757,6.244597257947957,0.0066224462877846335
2023-09-12,175.0172576904297,178.81939272059032,173.5480302988034,178.18404991763566,90370200,184.2386636352539,162.76716445922852,5.71369853285766,-0.017060571799958013
2023-09-13,172.9424591064453,176.00997270905043,172.71412167424248,175.22571224634177,84267900,183.88147216796875,162.88520820617677,5.198061912042912,-0.01185482284069539
2023-09-14,174.4613494873047,174.81873079113439,172.31706166432645,172.73400399416633,60895800,183.5770639038086,163.0254763031006,4.768711286511567,0.008782634343857065
2023-09-15,173.73663330078125,175.2157976120051,172.55530438661506,175.1959388893145,109205100,183.24864410400392,163.18134727478028,4.382543828554738,-0.00415402144173016
2023-09-18,176.6750946044922,178.0748391046168,174.88818834345716,175.1959303652364,67257600,183.00139892578125,163.36698532104492,4.368066279105749,0.016913308655082115
